"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jul-2022","EQ","200.00","201.95","197.55","196.80","198.40","198.60","200.23","298.65","129.15",1722803,"344,948,774.80",16538
"04-Jul-2022","EQ","196.60","199.50","194.30","198.00","197.00","196.80","196.43","298.65","129.15",1234577,"242,504,990.80",13549
"01-Jul-2022","EQ","197.70","198.65","192.00","197.80","198.25","198.00","195.54","298.65","129.15",1610634,"314,940,355.40",16231
"30-Jun-2022","EQ","200.40","204.00","196.80","200.35","197.60","197.80","200.19","298.65","129.15",1709073,"342,131,730.65",15128
"29-Jun-2022","EQ","200.00","203.50","197.40","202.65","200.90","200.35","201.04","298.65","129.15",1310783,"263,519,489.95",11695
"28-Jun-2022","EQ","197.00","203.00","196.30","199.25","202.50","202.65","200.60","298.65","129.15",1639206,"328,832,449.55",15595
"27-Jun-2022","EQ","199.90","202.00","198.00","196.70","199.00","199.25","200.01","298.65","129.15",1626939,"325,407,536.30",16638
"24-Jun-2022","EQ","196.00","197.80","195.05","194.75","196.05","196.70","196.44","298.65","129.15",1213106,"238,301,267.45",12117
"23-Jun-2022","EQ","192.25","195.95","189.15","189.55","194.25","194.75","193.61","298.65","129.15",2953842,"571,888,305.80",23903
"22-Jun-2022","EQ","190.95","192.20","188.55","191.50","190.00","189.55","190.18","298.65","129.15",1273678,"242,231,846.85",17268
"21-Jun-2022","EQ","187.95","192.45","186.25","184.25","192.30","191.50","189.88","298.65","129.15",1766709,"335,465,200.30",14849
"20-Jun-2022","EQ","189.65","189.65","179.85","187.60","184.60","184.25","183.52","298.65","129.15",3291649,"604,098,794.00",24574
"17-Jun-2022","EQ","192.50","194.00","186.05","195.85","188.15","187.60","189.43","298.65","129.15",3596648,"681,317,018.60",34479
"16-Jun-2022","EQ","205.20","206.65","194.80","203.95","195.80","195.85","199.97","298.65","129.15",3084822,"616,876,010.70",35330
"15-Jun-2022","EQ","200.50","204.50","199.60","197.60","204.00","203.95","202.65","298.65","129.15",1867336,"378,409,328.25",18013
"14-Jun-2022","EQ","195.00","200.40","192.80","196.20","197.55","197.60","197.13","298.65","129.15",1336215,"263,403,275.55",16214
"13-Jun-2022","EQ","200.50","200.50","195.65","205.65","196.25","196.20","197.76","298.65","129.15",2224036,"439,828,309.65",27415
"10-Jun-2022","EQ","204.25","206.40","203.40","206.65","205.70","205.65","205.13","298.65","129.15",698873,"143,357,319.70",7797
"09-Jun-2022","EQ","209.00","209.90","205.45","209.65","207.00","206.65","207.35","298.65","129.15",1022934,"212,107,350.05",11095
"08-Jun-2022","EQ","210.25","211.85","207.25","208.55","209.30","209.65","209.44","298.65","129.15",1602047,"335,534,827.95",14836
"07-Jun-2022","EQ","206.70","209.55","204.90","207.30","208.50","208.55","206.94","298.65","129.15",1220950,"252,658,436.05",11268
"06-Jun-2022","EQ","205.60","208.50","203.20","206.95","208.40","207.30","205.59","298.65","129.15",1493624,"307,067,003.65",15515
"03-Jun-2022","EQ","212.55","213.35","206.05","210.45","206.95","206.95","208.59","298.65","129.15",1378577,"287,560,756.40",15220
"02-Jun-2022","EQ","213.55","214.15","207.75","213.55","210.60","210.45","210.29","298.65","129.15",1917715,"403,281,284.85",24960
"01-Jun-2022","EQ","214.90","214.90","210.60","213.05","214.00","213.55","212.59","298.65","129.15",1488148,"316,364,038.35",11067
"31-May-2022","EQ","213.75","216.50","212.10","213.45","212.85","213.05","214.75","298.65","129.15",1761362,"378,259,318.10",17881
"30-May-2022","EQ","211.00","215.20","210.25","207.60","213.80","213.45","213.28","298.65","129.15",2080385,"443,694,336.45",17253
"27-May-2022","EQ","204.50","209.95","204.00","202.25","208.10","207.60","206.91","298.65","129.15",2652629,"548,846,269.25",26410
"26-May-2022","EQ","200.40","203.60","193.60","197.70","203.20","202.25","198.37","298.65","129.15",2458114,"487,621,024.00",15694
"25-May-2022","EQ","205.50","206.30","196.65","204.45","197.90","197.70","199.85","298.65","129.15",2430159,"485,676,934.90",19191
"24-May-2022","EQ","202.90","206.30","198.30","200.45","203.50","204.45","201.93","298.65","129.15",3219297,"650,064,937.55",23980
"23-May-2022","EQ","205.80","209.70","199.80","202.45","200.80","200.45","204.25","298.65","129.15",2915075,"595,401,986.15",22148
"20-May-2022","EQ","196.40","204.00","196.40","191.85","202.40","202.45","201.35","298.65","129.15",2406083,"484,456,957.30",20658
"19-May-2022","EQ","192.05","195.10","189.75","198.45","192.45","191.85","192.31","298.65","129.15",1709280,"328,714,714.05",20126
"18-May-2022","EQ","203.60","204.70","196.55","202.05","198.75","198.45","200.12","298.65","129.15",2269274,"454,133,881.00",17710
"17-May-2022","EQ","197.25","205.70","195.05","195.70","202.90","202.05","201.30","298.65","129.15",3615118,"727,736,103.95",37752
"16-May-2022","EQ","196.60","197.55","191.00","193.40","196.70","195.70","194.65","298.65","129.15",1679367,"326,888,774.80",16824
"13-May-2022","EQ","190.80","201.00","190.50","182.85","193.50","193.40","195.95","298.65","129.15",8821938,"1,728,618,174.10",61768
"12-May-2022","EQ","185.75","185.90","180.45","187.95","183.05","182.85","182.62","298.65","129.15",3671229,"670,432,191.75",43882
"11-May-2022","EQ","193.75","194.70","185.45","192.45","189.90","187.95","188.33","298.65","129.15",3192430,"601,243,077.80",32065
"10-May-2022","EQ","196.20","200.00","190.50","198.75","191.00","192.45","195.44","298.65","129.15",2164288,"422,983,674.70",38344
"09-May-2022","EQ","200.00","200.60","190.00","201.35","198.85","198.75","198.15","298.65","129.15",2587695,"512,757,407.15",33473
"06-May-2022","EQ","204.35","205.90","200.00","208.30","202.00","201.35","202.52","298.65","123.50",2985802,"604,669,727.30",33977
"05-May-2022","EQ","213.10","215.45","207.00","210.50","207.60","208.30","211.58","298.65","123.50",2087558,"441,679,754.25",21390
"04-May-2022","EQ","220.60","222.25","208.35","219.95","211.50","210.50","214.08","298.65","123.50",2731068,"584,655,475.30",25459
"02-May-2022","EQ","217.50","221.50","214.35","217.25","219.95","219.95","218.02","298.65","123.50",2410462,"525,521,514.05",23262
"29-Apr-2022","EQ","219.90","223.75","216.05","218.15","217.50","217.25","220.24","298.65","123.50",2275670,"501,191,480.95",19836
"28-Apr-2022","EQ","219.15","220.35","215.10","218.00","218.55","218.15","217.80","298.65","123.50",1859868,"405,075,937.20",13390
"27-Apr-2022","EQ","214.35","219.60","211.45","215.65","217.00","218.00","215.25","298.65","123.50",1561297,"336,071,419.50",14889
